A001ABANO TERME                                       PD35031D3AB
F328MONASTEROLO DEL CASTELLO                          BG24060C2HM
F330MONASTEROLO DI SAVIGLIANO                         CN12030A4FM
F332MONASTIER DI TREVISO                              TV31050D5BY
F333MONASTIR                                          CA09053V1DG
F335MONCALIERI                                        TO10024A1HW
F336MONCALVO                                          AT14036A3CV
D553MONCENISIO                                        TO10050A1FE
F337MONCESTINO                                        AL15020A2FM
F338MONCHIERO                                         CN12060A4FN
F340MONCHIO DELLE CORTI                               PR43010H5BC
F341MONCLASSICO                                       TN38020E1IY
F342MONCRIVELLO                                       VC13040A6DY
F343MONCUCCO TORINESE                                 AT14024A3CW
F347MONDAVIO                                          PS61040K4BL
F348MONDOLFO                                          PS61037K4BM
F351MONDOVI'                                          CN12084A4FQ
F352MONDRAGONE                                        CE81034Q4CP
F354MONEGLIA                                          GE16030G1CL
F355MONESIGLIO                                        CN12077A4FR
F356MONFALCONE                                        GO34074F3CQ
F358MONFORTE D'ALBA                                   CN12065A4FS
F359MONFORTE SAN GIORGIO                              ME00000U6CJ
F360MONFUMO                                           TV31010D5BZ
F361MONGARDINO                                        AT14040A3CX
F363MONGHIDORO                                        BO40063H1BS
F365MONGIARDINO LIGURE                                AL15060A2FQ
F368MONGIUFFI MELIA                                   ME98030U6CK
F370MONGRASSANO                                       CS87040T3DL
F371MONGUELFO                                         BZ39035E2EB
F371WELSBERG                                          BZ39035E2EB
F372MONGUZZO                                          CO22046C4LC
F373MONIGA DEL GARDA                                  BS25080C3GW
